table_name,column_name
migrations,id
migrations,migration
migrations,batch
users,id
users,name
users,email
users,email_verified_at
users,password
users,remember_token
users,created_at
users,updated_at
password_reset_tokens,email
password_reset_tokens,token
password_reset_tokens,created_at
sessions,id
sessions,user_id
sessions,ip_address
sessions,user_agent
sessions,payload
sessions,last_activity
cache,key
cache,value
cache,expiration
cache_locks,key
cache_locks,owner
cache_locks,expiration
jobs,id
jobs,queue
jobs,payload
jobs,attempts
jobs,reserved_at
jobs,available_at
jobs,created_at
job_batches,id
job_batches,name
job_batches,total_jobs
job_batches,pending_jobs
job_batches,failed_jobs
job_batches,failed_job_ids
job_batches,options
job_batches,cancelled_at
job_batches,created_at
job_batches,finished_at
failed_jobs,id
failed_jobs,uuid
failed_jobs,connection
failed_jobs,queue
failed_jobs,payload
failed_jobs,exception
failed_jobs,failed_at
personal_access_tokens,id
personal_access_tokens,tokenable_type
personal_access_tokens,tokenable_id
personal_access_tokens,name
personal_access_tokens,token
personal_access_tokens,abilities
personal_access_tokens,last_used_at
personal_access_tokens,expires_at
personal_access_tokens,created_at
personal_access_tokens,updated_at
